#--- Experiment --------------------------------------------------------------------------																																									
#AE-772-1																																									
#																																									
#--- System ------------------------------------------------------------------------------																																									
#Data from PyroScience Workbench V1.5.7.2519   www.pyroscience.com																																									
#WSG-Laptop-3.uni-jena.de																																									
#--- Instrument --------------------------------------------------------------------------																																									
#Device: FirePlate-O2 [A] FP96-O2 SN:25370027 UiD:2411E508596FD02F Firmware:4.13 Build:001																																									
#--- Channel -----------------------------------------------------------------------------																																									
#Group [A Gr.1] - Optical Temperature Sensor - DF7-324-526 - Well numbers: A2																																									
#--- Settings & Calibration --------------------------------------------------------------																																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																					
#	128 ms	60% (F)	10M (400x)	970	FALSE	FALSE	FALSE	TRUE	0	45	0	temperature	1 mm	0	Internal Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.000000																					
#Calibration:	WellNr	lastCal1	M	N	C	Tofs (K)	Background Amplitude (mV)	Background dphi (°)																																	
#	A2	31/03/2026	324.000000	526.000000	0.097000	-1.069000	0.044000	0.000000																																	
#--- Channel -----------------------------------------------------------------------------																																									
#Group [A Gr.2] - Oxygen Sensor - TC7-499-067 - Well numbers: C2, E2, G2																																									
#--- Settings & Calibration --------------------------------------------------------------																																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	45	0	oxygen	1 mm	0	Optical Temperature	20.000000	1	Internal Pressure Sensor	1013.000000	0.000000																					
#Calibration:	WellNr	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																				
#	C2	01/01/2001	31/03/2026	6.700	50.563	0.827000	0.075000	470	-0.350000	0.874000	0.044000	0.000000	-0.000106	0.000000	0.000000	fixed f	1013.000	20.000	0.000	22.028	20.950000																				
#	E2	01/01/2001	31/03/2026	6.700	50.453	0.827000	0.075000	470	-0.350000	0.874000	0.044000	0.000000	-0.000106	0.000000	0.000000	fixed f	1013.000	20.000	0.000	22.028	20.950000																				
#	G2	01/01/2001	31/03/2026	6.700	50.633	0.827000	0.075000	470	-0.350000	0.874000	0.044000	0.000000	-0.000106	0.000000	0.000000	fixed f	1013.000	20.000	0.000	22.028	20.950000																				
#--- Temperature Compensation Channel ----------------------------------------------------																																									
#Compensation Group [A Gr.1] - Optical Temperature Sensor - DF7-324-526 - Well numbers: A2																																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																					
#	128 ms	60% (F)	10M (400x)	970	FALSE	FALSE	FALSE	TRUE	0	45	0	temperature	1 mm	0	Internal Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.000000																					
#Calibration:	WellNr	lastCal1	M	N	C	Tofs (K)	Background Amplitude (mV)	Background dphi (°)																																	
#	A2	31/03/2026	324.000000	526.000000	0.097000	-1.069000	0.044000	0.000000																																	
#--- Pressure Compensation Channel -------------------------------------------------------																																									
#Compensation Channel [A P1] - Internal Pressure Sensor																																									
#Settings: n/a																																									
#Calibration: n/a																																									
#--- Measurement Data --------------------------------------------------------------------																																									
Date [A Gr.1 Main]	Time [A Gr.1 Main]	 dt (s) [A Gr.1 Main]	Optical Temp. (°C) [A Gr.1.A2 Main]	dphi (°) [A Gr.1.A2 Main]	Signal Intensity (mV) [A Gr.1.A2 Main]	Ambient Light (mV) [A Gr.1.A2 Main]	Status [A Gr.1.A2 Main]	Date [A Gr.2 Main]	Time [A Gr.2 Main]	 dt (s) [A Gr.2 Main]	Oxygen (µmol/L) [A Gr.2.C2 Main]	dphi (°) [A Gr.2.C2 Main]	Signal Intensity (mV) [A Gr.2.C2 Main]	Ambient Light (mV) [A Gr.2.C2 Main]	Status [A Gr.2.C2 Main]	Oxygen (µmol/L) [A Gr.2.E2 Main]	dphi (°) [A Gr.2.E2 Main]	Signal Intensity (mV) [A Gr.2.E2 Main]	Ambient Light (mV) [A Gr.2.E2 Main]	Status [A Gr.2.E2 Main]	Oxygen (µmol/L) [A Gr.2.G2 Main]	dphi (°) [A Gr.2.G2 Main]	Signal Intensity (mV) [A Gr.2.G2 Main]	Ambient Light (mV) [A Gr.2.G2 Main]	Status [A Gr.2.G2 Main]	Date [A Gr.2 CompT]	Time [A Gr.2 CompT]	 dt (s) [A Gr.2 CompT]	Optical Temp. (°C) [A Gr.2.A2 CompT]	dphi (°) [A Gr.2.A2 CompT]	Signal Intensity (mV) [A Gr.2.A2 CompT]	Ambient Light (mV) [A Gr.2.A2 CompT]	Status [A Gr.2.A2 CompT]	Date [A Gr.2.%s CompP]	Time [A Gr.2.%s CompP]	 dt (s) [A Gr.2.%s CompP]	Pressure (mbar) [A Gr.2.%s CompP]	Status [A Gr.2.%s CompP]	Date [Comment]	Time [Comment]	Comment
23-04-2026	13:33:13,945	-0.013	22.693	41.695	505	4	OK	23-04-2026	13:33:14,377	0.419	3.943040	49.035000	735	6	OK	4.268010	48.667999	495	6	OK	2.761196	50.124001	526	6	OK	23-04-2026	13:33:14,198	0.239	22.708	41.692	504	4	OK	23-04-2026	13:33:14,377	0.419	1005	OK			
23-04-2026	13:33:17,200	3.242	22.684	41.697	504	4	OK	23-04-2026	13:33:17,584	3.626	3.968945	49.013000	735	6	OK	4.289540	48.650002	495	6	OK	2.767933	50.118000	526	6	OK	23-04-2026	13:33:17,403	3.444	22.698	41.694	504	4	OK	23-04-2026	13:33:17,584	3.626	1005	OK			
23-04-2026	13:33:20,421	6.463	22.674	41.699	504	4	OK	23-04-2026	13:33:20,798	6.840	3.973661	49.008999	735	6	OK	4.309889	48.632999	494	6	OK	2.769059	50.117001	526	6	OK	23-04-2026	13:33:20,603	6.645	22.698	41.694	503	4	OK	23-04-2026	13:33:20,798	6.840	1005	OK			
23-04-2026	13:33:23,635	9.677	22.679	41.698	504	4	OK	23-04-2026	13:33:24,092	10.133	3.990155	48.994999	734	6	OK	4.323063	48.622002	494	6	OK	2.762317	50.123001	526	6	OK	23-04-2026	13:33:23,911	9.953	22.659	41.702	504	4	OK	23-04-2026	13:33:24,092	10.133	1005	OK			
23-04-2026	13:33:26,961	13.003	22.639	41.706	504	4	OK	23-04-2026	13:33:27,400	13.441	4.004298	48.983002	734	6	OK	4.351834	48.598000	494	6	OK	2.764565	50.120998	526	6	OK	23-04-2026	13:33:27,220	13.262	22.654	41.703	504	4	OK	23-04-2026	13:33:27,400	13.441	1005	OK			
23-04-2026	13:33:30,289	16.330	22.644	41.705	504	4	OK	23-04-2026	13:33:30,704	16.746	4.025538	48.965000	734	6	OK	4.361432	48.590000	494	6	OK	2.766806	50.118999	526	6	OK	23-04-2026	13:33:30,527	16.569	22.634	41.707	504	4	OK	23-04-2026	13:33:30,704	16.746	1005	OK			
23-04-2026	13:33:33,614	19.656	22.615	41.711	504	4	OK	23-04-2026	13:33:34,012	20.053	4.029075	48.962002	734	6	OK	4.378236	48.576000	494	6	OK	2.769059	50.117001	526	6	OK	23-04-2026	13:33:33,834	19.875	22.624	41.709	503	3	OK	23-04-2026	13:33:34,012	20.053	1005	OK			
23-04-2026	13:33:36,835	22.876	22.634	41.707	504	3	OK	23-04-2026	13:33:37,214	23.255	4.044430	48.949001	734	6	OK	4.398653	48.558998	494	6	OK	2.775790	50.111000	526	6	OK	23-04-2026	13:33:37,035	23.076	22.634	41.707	503	4	OK	23-04-2026	13:33:37,214	23.255	1005	OK			
23-04-2026	13:33:40,053	26.094	22.605	41.713	504	3	OK	23-04-2026	13:33:40,419	26.461	4.056247	48.938999	734	6	OK	4.419083	48.542000	494	6	OK	2.773548	50.112999	526	6	OK	23-04-2026	13:33:40,240	26.282	22.624	41.709	503	4	OK	23-04-2026	13:33:40,419	26.461	1005	OK			
23-04-2026	13:33:43,269	29.310	22.610	41.712	504	3	OK	23-04-2026	13:33:43,725	29.767	4.072795	48.924999	734	6	OK	4.437122	48.527000	494	6	OK	2.776922	50.110001	526	6	OK	23-04-2026	13:33:43,548	29.590	22.620	41.710	504	3	OK	23-04-2026	13:33:43,725	29.767	1005	OK			
23-04-2026	13:33:46,594	32.635	22.624	41.709	504	3	OK	23-04-2026	13:33:47,035	33.076	4.091715	48.909000	734	6	OK	4.456381	48.511002	494	6	OK	2.775790	50.111000	526	6	OK	23-04-2026	13:33:46,853	32.895	22.620	41.710	503	3	OK	23-04-2026	13:33:47,035	33.076	1005	OK			
23-04-2026	13:33:49,915	35.956	22.590	41.716	504	3	OK	23-04-2026	13:33:50,338	36.379	4.111845	48.891998	733	6	OK	4.476854	48.493999	493	6	OK	2.783668	50.104000	526	6	OK	23-04-2026	13:33:50,158	36.200	22.624	41.709	503	3	OK	23-04-2026	13:33:50,338	36.379	1005	OK			
23-04-2026	13:33:53,239	39.281	22.600	41.714	504	3	OK	23-04-2026	13:33:53,643	39.684	4.123684	48.882000	733	6	OK	4.494941	48.479000	493	6	OK	2.787030	50.101002	526	6	OK	23-04-2026	13:33:53,464	39.505	22.605	41.713	503	3	OK	23-04-2026	13:33:53,643	39.684	1005	OK			
23-04-2026	13:33:56,567	42.608	22.595	41.715	504	4	OK	23-04-2026	13:33:56,947	42.988	4.135535	48.872002	733	6	OK	4.515436	48.462002	493	6	OK	2.782538	50.105000	526	6	OK	23-04-2026	13:33:56,767	42.809	22.615	41.711	503	3	OK	23-04-2026	13:33:56,947	42.988	1005	OK			
23-04-2026	13:33:59,784	45.826	22.595	41.715	504	3	OK	23-04-2026	13:34:00,150	46.191	4.158062	48.853001	733	6	OK	4.537169	48.444000	493	6	OK	2.784781	50.103001	526	6	OK	23-04-2026	13:33:59,973	46.015	22.575	41.719	503	4	OK	23-04-2026	13:34:00,150	46.191	1005	OK			
23-04-2026	13:34:02,999	49.040	22.585	41.717	504	3	OK	23-04-2026	13:34:03,365	49.406	4.169926	48.842999	733	6	OK	4.562541	48.423000	493	6	OK	2.789280	50.098999	526	6	OK	23-04-2026	13:34:03,185	49.226	22.560	41.722	503	3	OK	23-04-2026	13:34:03,365	49.406	1005	OK			
23-04-2026	13:34:06,216	52.257	22.560	41.722	504	4	OK	23-04-2026	13:34:06,669	52.711	4.191288	48.825001	733	6	OK	4.579468	48.409000	493	6	OK	2.784781	50.103001	526	6	OK	23-04-2026	13:34:06,490	52.532	22.580	41.718	503	3	OK	23-04-2026	13:34:06,669	52.711	1005	OK			
23-04-2026	13:34:09,543	55.584	22.565	41.721	504	3	OK	23-04-2026	13:34:09,977	56.018	4.201978	48.816002	733	6	OK	4.606089	48.387001	493	6	OK	2.789280	50.098999	526	6	OK	23-04-2026	13:34:09,798	55.840	22.570	41.720	503	4	OK	23-04-2026	13:34:09,977	56.018	1005	OK			
