#AE-772-1
#Optical Temp. (°C)
Time	dt (s)	A2	
23-04-2026 13:33:13,945	-0.013	22.693
23-04-2026 13:33:17,200	3.242	22.684
23-04-2026 13:33:20,421	6.463	22.674
23-04-2026 13:33:23,635	9.677	22.679
23-04-2026 13:33:26,961	13.003	22.639
23-04-2026 13:33:30,289	16.330	22.644
23-04-2026 13:33:33,614	19.656	22.615
23-04-2026 13:33:36,835	22.876	22.634
23-04-2026 13:33:40,053	26.094	22.605
23-04-2026 13:33:43,269	29.310	22.610
23-04-2026 13:33:46,594	32.635	22.624
23-04-2026 13:33:49,915	35.956	22.590
23-04-2026 13:33:53,239	39.281	22.600
23-04-2026 13:33:56,567	42.608	22.595
23-04-2026 13:33:59,784	45.826	22.595
23-04-2026 13:34:02,999	49.040	22.585
23-04-2026 13:34:06,216	52.257	22.560
23-04-2026 13:34:09,543	55.584	22.565
23-04-2026 13:34:12,869	58.910	22.560
23-04-2026 13:34:16,191	62.233	22.555
23-04-2026 13:34:19,413	65.454	22.546
23-04-2026 13:34:22,631	68.672	22.531
23-04-2026 13:34:25,853	71.894	22.536
23-04-2026 13:34:29,172	75.214	22.531
23-04-2026 13:34:32,505	78.546	22.521
23-04-2026 13:34:35,833	81.874	22.506
23-04-2026 13:34:39,049	85.091	22.501
23-04-2026 13:34:42,268	88.310	22.477
23-04-2026 13:34:45,485	91.527	22.477
23-04-2026 13:34:48,813	94.855	22.467
23-04-2026 13:34:52,144	98.186	22.491
23-04-2026 13:34:55,468	101.509	22.487
23-04-2026 13:34:58,687	104.728	22.487
23-04-2026 13:35:01,905	107.946	22.457
23-04-2026 13:35:05,234	111.275	22.472
23-04-2026 13:35:08,560	114.601	22.442
23-04-2026 13:35:11,885	117.927	22.442
23-04-2026 13:35:15,105	121.146	22.447
23-04-2026 13:35:18,323	124.365	22.437
23-04-2026 13:35:21,540	127.582	22.427
23-04-2026 13:35:24,854	130.895	22.408
23-04-2026 13:35:28,181	134.223	22.388
23-04-2026 13:35:31,509	137.550	22.373
23-04-2026 13:35:34,735	140.777	22.388
23-04-2026 13:35:37,951	143.992	22.359
23-04-2026 13:35:41,165	147.207	22.339
23-04-2026 13:35:44,380	150.422	22.334
23-04-2026 13:35:47,704	153.746	22.324
23-04-2026 13:35:51,030	157.071	22.300
23-04-2026 13:35:54,359	160.400	22.319
23-04-2026 13:35:57,578	163.620	22.314
23-04-2026 13:36:00,797	166.839	22.329
23-04-2026 13:36:04,016	170.057	22.324
23-04-2026 13:36:07,348	173.389	22.329
23-04-2026 13:36:10,670	176.712	22.329
23-04-2026 13:36:14,000	180.042	22.285
23-04-2026 13:36:17,220	183.261	22.295
23-04-2026 13:36:20,437	186.479	22.314
23-04-2026 13:36:23,760	189.802	22.300
23-04-2026 13:36:27,087	193.129	22.339
23-04-2026 13:36:30,418	196.459	22.319
23-04-2026 13:36:33,635	199.677	22.309
23-04-2026 13:36:36,855	202.896	22.339
23-04-2026 13:36:40,080	206.122	22.314
23-04-2026 13:36:43,406	209.447	22.324
23-04-2026 13:36:46,731	212.772	22.300
23-04-2026 13:36:50,054	216.095	22.285
23-04-2026 13:36:53,271	219.313	22.275
23-04-2026 13:36:56,488	222.530	22.250
23-04-2026 13:36:59,705	225.747	22.265
23-04-2026 13:37:03,029	229.071	22.246
23-04-2026 13:37:06,354	232.396	22.260
23-04-2026 13:37:09,678	235.719	22.231
23-04-2026 13:37:12,898	238.939	22.241
23-04-2026 13:37:16,118	242.160	22.250
23-04-2026 13:37:19,338	245.380	22.250
23-04-2026 13:37:22,667	248.709	22.250
23-04-2026 13:37:25,990	252.031	22.216
23-04-2026 13:37:29,313	255.355	22.236
23-04-2026 13:37:32,529	258.570	22.255
23-04-2026 13:37:35,750	261.792	22.250
23-04-2026 13:37:38,968	265.009	22.241
23-04-2026 13:37:42,294	268.335	22.246
23-04-2026 13:37:45,619	271.661	22.226
23-04-2026 13:37:48,944	274.985	22.226
23-04-2026 13:37:52,162	278.204	22.241
23-04-2026 13:37:55,375	281.417	22.206
23-04-2026 13:37:58,596	284.638	22.206
23-04-2026 13:38:01,926	287.968	22.221
23-04-2026 13:38:05,249	291.291	22.206
23-04-2026 13:38:08,575	294.617	22.182
23-04-2026 13:38:11,793	297.835	22.177
23-04-2026 13:38:15,009	301.050	22.147
23-04-2026 13:38:18,224	304.265	22.162
23-04-2026 13:38:21,553	307.594	22.152
23-04-2026 13:38:24,882	310.923	22.167
23-04-2026 13:38:28,206	314.248	22.152
23-04-2026 13:38:31,422	317.464	22.177
23-04-2026 13:38:34,642	320.683	22.192
23-04-2026 13:38:37,859	323.901	22.182
23-04-2026 13:38:41,184	327.225	22.201
23-04-2026 13:38:44,510	330.552	22.196
23-04-2026 13:38:47,837	333.878	22.216
23-04-2026 13:38:51,161	337.202	22.201
23-04-2026 13:38:54,376	340.418	22.196
23-04-2026 13:38:57,594	343.636	22.172
23-04-2026 13:39:00,815	346.856	22.167
23-04-2026 13:39:04,136	350.178	22.187
23-04-2026 13:39:07,463	353.504	22.167
23-04-2026 13:39:10,800	356.841	22.182
23-04-2026 13:39:14,017	360.058	22.128
23-04-2026 13:39:17,234	363.275	22.118
23-04-2026 13:39:20,559	366.600	22.123
23-04-2026 13:39:23,884	369.926	22.108
23-04-2026 13:39:27,213	373.255	22.098
23-04-2026 13:39:30,429	376.470	22.098
23-04-2026 13:39:33,647	379.689	22.088
23-04-2026 13:39:36,869	382.911	22.123
23-04-2026 13:39:40,193	386.235	22.142
23-04-2026 13:39:43,518	389.559	22.138
23-04-2026 13:39:46,847	392.889	22.162
23-04-2026 13:39:50,068	396.110	22.123
23-04-2026 13:39:53,286	399.327	22.128
23-04-2026 13:39:56,610	402.651	22.118
23-04-2026 13:39:59,937	405.978	22.118
23-04-2026 13:40:03,266	409.308	22.113
23-04-2026 13:40:06,484	412.525	22.098
23-04-2026 13:40:09,704	415.746	22.079
23-04-2026 13:40:12,918	418.960	22.093
23-04-2026 13:40:16,248	422.289	22.084
23-04-2026 13:40:19,572	425.614	22.093
23-04-2026 13:40:22,894	428.936	22.079
23-04-2026 13:40:26,116	432.157	22.064
23-04-2026 13:40:29,333	435.375	22.064
23-04-2026 13:40:32,555	438.597	22.093
23-04-2026 13:40:35,879	441.921	22.084
23-04-2026 13:40:39,205	445.246	22.103
23-04-2026 13:40:42,528	448.570	22.098
23-04-2026 13:40:45,746	451.788	22.108
23-04-2026 13:40:48,961	455.002	22.108
23-04-2026 13:40:52,180	458.222	22.108
23-04-2026 13:40:55,504	461.546	22.088
23-04-2026 13:40:58,835	464.876	22.064
23-04-2026 13:41:02,157	468.199	22.059
23-04-2026 13:41:05,379	471.420	22.044
23-04-2026 13:41:08,595	474.637	22.079
23-04-2026 13:41:11,813	477.854	22.069
23-04-2026 13:41:15,137	481.179	22.064
23-04-2026 13:41:18,459	484.500	22.074
23-04-2026 13:41:21,790	487.831	22.093
23-04-2026 13:41:25,117	491.159	22.098
