#AE-772-1
#Oxygen (µmol/L)
Time	dt (s)	C2	E2	G2	
23-04-2026 13:33:14,377	0.419	3.943040	4.268010	2.761196
23-04-2026 13:33:17,584	3.626	3.968945	4.289540	2.767933
23-04-2026 13:33:20,798	6.840	3.973661	4.309889	2.769059
23-04-2026 13:33:24,092	10.133	3.990155	4.323063	2.762317
23-04-2026 13:33:27,400	13.441	4.004298	4.351834	2.764565
23-04-2026 13:33:30,704	16.746	4.025538	4.361432	2.766806
23-04-2026 13:33:34,012	20.053	4.029075	4.378236	2.769059
23-04-2026 13:33:37,214	23.255	4.044430	4.398653	2.775790
23-04-2026 13:33:40,419	26.461	4.056247	4.419083	2.773548
23-04-2026 13:33:43,725	29.767	4.072795	4.437122	2.776922
23-04-2026 13:33:47,035	33.076	4.091715	4.456381	2.775790
23-04-2026 13:33:50,338	36.379	4.111845	4.476854	2.783668
23-04-2026 13:33:53,643	39.684	4.123684	4.494941	2.787030
23-04-2026 13:33:56,947	42.988	4.135535	4.515436	2.782538
23-04-2026 13:34:00,150	46.191	4.158062	4.537169	2.784781
23-04-2026 13:34:03,365	49.406	4.169926	4.562541	2.789280
23-04-2026 13:34:06,669	52.711	4.191288	4.579468	2.784781
23-04-2026 13:34:09,977	56.018	4.201978	4.606089	2.789280
23-04-2026 13:34:13,287	59.328	4.217434	4.615775	2.785905
23-04-2026 13:34:16,590	62.631	4.241219	4.642435	2.792658
23-04-2026 13:34:19,794	65.835	4.251931	4.667909	2.794899
23-04-2026 13:34:22,999	69.040	4.265031	4.690969	2.797152
23-04-2026 13:34:26,303	72.344	4.287666	4.714055	2.793776
23-04-2026 13:34:29,611	75.652	4.301965	4.734736	2.793775
23-04-2026 13:34:32,916	78.958	4.319865	4.755413	2.797152
23-04-2026 13:34:36,220	82.261	4.340154	4.772465	2.799402
23-04-2026 13:34:39,423	85.465	4.350903	4.790742	2.805023
23-04-2026 13:34:42,632	88.673	4.370031	4.804154	2.802771
23-04-2026 13:34:45,938	91.979	4.383181	4.823674	2.801652
23-04-2026 13:34:49,242	95.283	4.408315	4.837103	2.807275
23-04-2026 13:34:52,550	98.592	4.419088	4.850538	2.809522
23-04-2026 13:34:55,854	101.896	4.428671	4.878649	2.811772
23-04-2026 13:34:59,059	105.101	4.439461	4.897005	2.817398
23-04-2026 13:35:02,364	108.406	4.457441	4.915364	2.825271
23-04-2026 13:35:05,672	111.713	4.474240	4.930065	2.829780
23-04-2026 13:35:08,979	115.020	4.479044	4.939868	2.829780
23-04-2026 13:35:12,283	118.325	4.497054	4.965615	2.828651
23-04-2026 13:35:15,487	121.528	4.507868	4.976659	2.829780
23-04-2026 13:35:18,690	124.731	4.530705	4.996300	2.828651
23-04-2026 13:35:21,997	128.039	4.541530	5.015964	2.834284
23-04-2026 13:35:25,295	131.336	4.558381	5.025797	2.838784
23-04-2026 13:35:28,608	134.649	4.560792	5.034406	2.844418
23-04-2026 13:35:31,911	137.953	4.583671	5.059015	2.846671
23-04-2026 13:35:35,116	141.157	4.587289	5.083649	2.839913
23-04-2026 13:35:38,320	144.361	4.606577	5.104599	2.848922
23-04-2026 13:35:41,526	147.568	4.613817	5.134207	2.846671
23-04-2026 13:35:44,831	150.872	4.629503	5.150264	2.847795
23-04-2026 13:35:48,141	154.183	4.648820	5.165091	2.848922
23-04-2026 13:35:51,447	157.488	4.662120	5.188582	2.851180
23-04-2026 13:35:54,749	160.790	4.679041	5.203432	2.851180
23-04-2026 13:35:57,958	163.999	4.689926	5.212097	2.845542
23-04-2026 13:36:01,164	167.206	4.699607	5.236861	2.847796
23-04-2026 13:36:04,471	170.513	4.721398	5.249253	2.856809
23-04-2026 13:36:07,775	173.817	4.735937	5.267861	2.854555
23-04-2026 13:36:11,080	177.121	4.752907	5.286477	2.864696
23-04-2026 13:36:14,385	180.427	4.767459	5.293922	2.869208
23-04-2026 13:36:17,587	183.628	4.784453	5.322495	2.868082
23-04-2026 13:36:20,896	186.938	4.799027	5.349858	2.873722
23-04-2026 13:36:24,201	190.243	4.818465	5.372259	2.871465
