#--- Experiment --------------------------------------------------------------------------																																									
#AE-488-1																																									
#																																									
#--- System ------------------------------------------------------------------------------																																									
#Data from PyroScience Workbench V1.5.7.2519   www.pyroscience.com																																									
#Laptop2																																									
#--- Instrument --------------------------------------------------------------------------																																									
#Device: FirePlate-O2 [A] FP96-O2 SN:26040013 UiD:2411E508596730F5 Firmware:4.13 Build:001																																									
#--- Channel -----------------------------------------------------------------------------																																									
#Group [A Gr.1] - Optical Temperature Sensor - DF7-324-526 - Well numbers: A2																																									
#--- Settings & Calibration --------------------------------------------------------------																																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																					
#	128 ms	60% (F)	10M (400x)	970	FALSE	FALSE	FALSE	TRUE	0	45	0	temperature	1 mm	0	Internal Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.000000																					
#Calibration:	WellNr	lastCal1	M	N	C	Tofs (K)	Background Amplitude (mV)	Background dphi (°)																																	
#	A2	06/05/2026	324.000000	526.000000	0.097000	-0.293000	0.044000	0.000000																																	
#--- Channel -----------------------------------------------------------------------------																																									
#Group [A Gr.2] - Oxygen Sensor - TC7-499-067 - Well numbers: C2, E2, G2																																									
#--- Settings & Calibration --------------------------------------------------------------																																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																					
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	45	0	oxygen	1 mm	0	Optical Temperature	20.000000	1	Internal Pressure Sensor	1013.000000	0.000000																					
#Calibration:	WellNr	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																				
#	C2	01/01/2001	06/05/2026	6.700	49.378	0.827000	0.075000	470	-0.350000	0.874000	0.044000	0.000000	-0.000106	0.000000	0.000000	fixed f	1013.000	20.000	0.000	23.406	20.950000																				
#	E2	01/01/2001	06/05/2026	6.700	47.735	0.827000	0.075000	470	-0.350000	0.874000	0.044000	0.000000	-0.000106	0.000000	0.000000	fixed f	1013.000	20.000	0.000	23.406	20.950000																				
#	G2	01/01/2001	06/05/2026	6.700	47.555	0.827000	0.075000	470	-0.350000	0.874000	0.044000	0.000000	-0.000106	0.000000	0.000000	fixed f	1013.000	20.000	0.000	23.406	20.950000																				
#--- Temperature Compensation Channel ----------------------------------------------------																																									
#Compensation Group [A Gr.1] - Optical Temperature Sensor - DF7-324-526 - Well numbers: A2																																									
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																					
#	128 ms	60% (F)	10M (400x)	970	FALSE	FALSE	FALSE	TRUE	0	45	0	temperature	1 mm	0	Internal Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.000000																					
#Calibration:	WellNr	lastCal1	M	N	C	Tofs (K)	Background Amplitude (mV)	Background dphi (°)																																	
#	A2	06/05/2026	324.000000	526.000000	0.097000	-0.293000	0.044000	0.000000																																	
#--- Pressure Compensation Channel -------------------------------------------------------																																									
#Compensation Channel [A P1] - Internal Pressure Sensor																																									
#Settings: n/a																																									
#Calibration: n/a																																									
#--- Measurement Data --------------------------------------------------------------------																																									
Date [A Gr.1 Main]	Time [A Gr.1 Main]	 dt (s) [A Gr.1 Main]	Optical Temp. (°C) [A Gr.1.A2 Main]	dphi (°) [A Gr.1.A2 Main]	Signal Intensity (mV) [A Gr.1.A2 Main]	Ambient Light (mV) [A Gr.1.A2 Main]	Status [A Gr.1.A2 Main]	Date [A Gr.2 Main]	Time [A Gr.2 Main]	 dt (s) [A Gr.2 Main]	Oxygen (µmol/L) [A Gr.2.C2 Main]	dphi (°) [A Gr.2.C2 Main]	Signal Intensity (mV) [A Gr.2.C2 Main]	Ambient Light (mV) [A Gr.2.C2 Main]	Status [A Gr.2.C2 Main]	Oxygen (µmol/L) [A Gr.2.E2 Main]	dphi (°) [A Gr.2.E2 Main]	Signal Intensity (mV) [A Gr.2.E2 Main]	Ambient Light (mV) [A Gr.2.E2 Main]	Status [A Gr.2.E2 Main]	Oxygen (µmol/L) [A Gr.2.G2 Main]	dphi (°) [A Gr.2.G2 Main]	Signal Intensity (mV) [A Gr.2.G2 Main]	Ambient Light (mV) [A Gr.2.G2 Main]	Status [A Gr.2.G2 Main]	Date [A Gr.2 CompT]	Time [A Gr.2 CompT]	 dt (s) [A Gr.2 CompT]	Optical Temp. (°C) [A Gr.2.A2 CompT]	dphi (°) [A Gr.2.A2 CompT]	Signal Intensity (mV) [A Gr.2.A2 CompT]	Ambient Light (mV) [A Gr.2.A2 CompT]	Status [A Gr.2.A2 CompT]	Date [A Gr.2.%s CompP]	Time [A Gr.2.%s CompP]	 dt (s) [A Gr.2.%s CompP]	Pressure (mbar) [A Gr.2.%s CompP]	Status [A Gr.2.%s CompP]	Date [Comment]	Time [Comment]	Comment
07-05-2026	14:57:05,144	2.470	23.855	41.617	366	16	OK	07-05-2026	14:57:02,288	-0.386	1.642171	50.108002	543	16	OK	0.372955	49.667000	298	16	OK	2.205677	47.952000	315	16	OK	07-05-2026	14:57:02,109	-0.565	23.865	41.615	366	16	OK	07-05-2026	14:57:02,288	-0.386	991	OK			
07-05-2026	14:57:08,480	5.806	23.865	41.615	366	16	OK	07-05-2026	14:57:05,594	2.921	1.650028	50.101002	543	16	OK	0.374101	49.666000	298	16	OK	2.246333	47.918999	314	16	OK	07-05-2026	14:57:05,414	2.741	23.855	41.617	366	16	OK	07-05-2026	14:57:05,594	2.921	991	OK			
07-05-2026	14:57:11,809	9.136	23.825	41.623	366	16	OK	07-05-2026	14:57:08,900	6.226	1.665748	50.087002	543	16	OK	0.386676	49.654999	298	16	OK	2.284570	47.888000	314	16	OK	07-05-2026	14:57:08,721	6.047	23.840	41.620	366	16	OK	07-05-2026	14:57:08,900	6.226	991	OK			
07-05-2026	14:57:15,033	12.359	23.805	41.627	366	16	OK	07-05-2026	14:57:12,202	9.528	1.662379	50.090000	543	16	OK	0.394686	49.647999	298	16	OK	2.327812	47.853001	314	16	OK	07-05-2026	14:57:12,024	9.350	23.830	41.622	365	16	OK	07-05-2026	14:57:12,202	9.528	991	OK			
07-05-2026	14:57:18,265	15.592	23.781	41.632	366	16	OK	07-05-2026	14:57:15,407	12.733	1.659015	50.092999	543	16	OK	0.396970	49.646000	298	16	OK	2.377309	47.813000	314	16	OK	07-05-2026	14:57:15,229	12.555	23.810	41.626	365	16	OK	07-05-2026	14:57:15,407	12.733	991	OK			
07-05-2026	14:57:21,599	18.925	23.761	41.636	366	16	OK	07-05-2026	14:57:18,713	16.040	1.653395	50.098000	543	16	OK	0.407274	49.637001	298	16	OK	2.402094	47.792999	314	16	OK	07-05-2026	14:57:18,533	15.860	23.781	41.632	365	16	OK	07-05-2026	14:57:18,713	16.040	991	OK			
07-05-2026	14:57:24,843	22.169	23.761	41.636	366	16	OK	07-05-2026	14:57:22,015	19.341	1.662380	50.090000	543	16	OK	0.409560	49.634998	298	16	OK	2.454207	47.750999	313	16	OK	07-05-2026	14:57:21,838	19.164	23.785	41.631	365	16	OK	07-05-2026	14:57:22,015	19.341	991	OK			
07-05-2026	14:57:28,066	25.393	23.756	41.637	366	16	OK	07-05-2026	14:57:25,223	22.549	1.664629	50.088001	543	16	OK	0.411853	49.632999	298	16	OK	2.490247	47.722000	313	17	OK	07-05-2026	14:57:25,044	22.370	23.781	41.632	365	16	OK	07-05-2026	14:57:25,223	22.549	991	OK			
07-05-2026	14:57:31,288	28.614	23.756	41.637	365	16	OK	07-05-2026	14:57:28,427	25.754	1.667996	50.084999	543	16	OK	0.422152	49.624001	298	16	OK	2.527584	47.692001	313	16	OK	07-05-2026	14:57:28,248	25.575	23.771	41.634	365	16	OK	07-05-2026	14:57:28,427	25.754	991	OK			
07-05-2026	14:57:34,622	31.948	23.731	41.642	365	16	OK	07-05-2026	14:57:31,730	29.057	1.664629	50.088001	543	15	OK	0.424447	49.622002	298	15	OK	2.567462	47.660000	313	15	OK	07-05-2026	14:57:31,553	28.880	23.736	41.641	365	16	OK	07-05-2026	14:57:31,730	29.057	991	OK			
07-05-2026	14:57:37,959	35.286	23.746	41.639	365	16	OK	07-05-2026	14:57:35,036	32.362	1.667996	50.084999	543	16	OK	0.440485	49.608002	298	16	OK	2.613632	47.623001	313	15	OK	07-05-2026	14:57:34,858	32.184	23.761	41.636	365	16	OK	07-05-2026	14:57:35,036	32.362	991	OK			
07-05-2026	14:57:41,189	38.516	23.736	41.641	365	16	OK	07-05-2026	14:57:38,339	35.666	1.662379	50.090000	543	16	OK	0.438195	49.610001	298	16	OK	2.657390	47.588001	313	16	OK	07-05-2026	14:57:38,161	35.488	23.721	41.644	365	16	OK	07-05-2026	14:57:38,339	35.666	993	OK			
07-05-2026	14:57:44,525	41.852	23.706	41.647	365	16	OK	07-05-2026	14:57:41,639	38.966	1.666873	50.085999	543	15	OK	0.450804	49.598999	298	15	OK	2.689934	47.562000	312	15	OK	07-05-2026	14:57:41,463	38.790	23.716	41.645	365	16	OK	07-05-2026	14:57:41,639	38.966	991	OK			
07-05-2026	14:57:47,862	45.188	23.672	41.654	365	16	OK	07-05-2026	14:57:44,944	42.271	1.665748	50.087002	543	15	OK	0.448511	49.601002	298	15	OK	2.747619	47.515999	312	16	OK	07-05-2026	14:57:44,766	42.093	23.701	41.648	365	16	OK	07-05-2026	14:57:44,944	42.271	993	OK			
07-05-2026	14:57:51,088	48.414	23.677	41.653	365	16	OK	07-05-2026	14:57:48,251	45.577	1.665748	50.087002	542	15	OK	0.457680	49.592999	298	15	OK	2.787801	47.484001	312	15	OK	07-05-2026	14:57:48,071	45.397	23.682	41.652	365	16	OK	07-05-2026	14:57:48,251	45.577	993	OK			
07-05-2026	14:57:54,307	51.633	23.682	41.652	365	16	OK	07-05-2026	14:57:51,457	48.783	1.671363	50.082001	542	15	OK	0.466856	49.584999	298	15	OK	2.833083	47.448002	312	15	OK	07-05-2026	14:57:51,278	48.604	23.677	41.653	365	16	OK	07-05-2026	14:57:51,457	48.783	993	OK			
07-05-2026	14:57:57,644	54.970	23.682	41.652	365	16	OK	07-05-2026	14:57:54,762	52.088	1.673617	50.080002	543	15	OK	0.470302	49.582001	298	15	OK	2.869629	47.418999	312	15	OK	07-05-2026	14:57:54,584	51.910	23.697	41.649	365	16	OK	07-05-2026	14:57:54,762	52.088	993	OK			
07-05-2026	14:58:00,984	58.310	23.687	41.651	365	16	OK	07-05-2026	14:57:58,069	55.395	1.674736	50.078999	543	15	OK	0.466856	49.584999	298	16	OK	2.911255	47.386002	311	16	OK	07-05-2026	14:57:57,889	55.215	23.701	41.648	365	16	OK	07-05-2026	14:57:58,069	55.395	993	OK			
