#--- Experiment --------------------------------------------------------------------------																																														
#AE-808-1																																														
#																																														
#--- System ------------------------------------------------------------------------------																																														
#Data from PyroScience Workbench V1.5.7.2519   www.pyroscience.com																																														
#Laptop2.uni-jena.de																																														
#--- Instrument --------------------------------------------------------------------------																																														
#Device: FirePlate-O2 [A] FP96-O2 SN:26040013 UiD:2411E508596730F5 Firmware:4.13 Build:001																																														
#--- Channel -----------------------------------------------------------------------------																																														
#Group [A Gr.1] - Optical Temperature Sensor - DF7-324-526 - Well numbers: A2																																														
#--- Settings & Calibration --------------------------------------------------------------																																														
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																										
#	128 ms	60% (F)	10M (400x)	970	FALSE	FALSE	FALSE	TRUE	0	45	0	temperature	1 mm	0	Internal Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.000000																										
#Calibration:	WellNr	lastCal1	M	N	C	Tofs (K)	Background Amplitude (mV)	Background dphi (°)																																						
#	A2	04/06/2026	324.000000	526.000000	0.097000	-0.379000	0.044000	0.000000																																						
#--- Channel -----------------------------------------------------------------------------																																														
#Group [A Gr.2] - Oxygen Sensor - TC7-499-067 - Well numbers: C4, C6, E4, E6																																														
#--- Settings & Calibration --------------------------------------------------------------																																														
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																										
#	128 ms	20% (C)	10M (400x)	470	FALSE	FALSE	TRUE	TRUE	0	45	0	oxygen	1 mm	0	Optical Temperature	20.000000	1	Internal Pressure Sensor	1013.000000	0.000000																										
#Calibration:	WellNr	lastCal1	lastCal2	dphi 100% (°)	dphi 0% (°)	f	m	F(Hz)	tt(%/K)	kt(%/K)	Background Amplitude (mV)	Background dphi (°)	mt(1/K)	Tofs(K)	Ksv (1/mbar)	Method	Air Pressure (mbar)	Temperature (°C)	Humidity (%RH)	Temperature (°C) at 0%	Partial Volume of Oxygen (%O2)																									
#	C4	04/06/2026	04/06/2026	7.182	50.754	0.827000	0.075000	470	-0.350000	0.874000	0.044000	0.000000	-0.000106	0.000000	0.000000	fixed f	985.250	22.732	100.000	22.868	20.950000																									
#	C6	04/06/2026	04/06/2026	7.209	50.973	0.827000	0.075000	470	-0.350000	0.874000	0.044000	0.000000	-0.000106	0.000000	0.000000	fixed f	985.250	22.732	100.000	22.868	20.950000																									
#	E4	04/06/2026	04/06/2026	7.174	50.991	0.827000	0.075000	470	-0.350000	0.874000	0.044000	0.000000	-0.000106	0.000000	0.000000	fixed f	985.250	22.732	100.000	22.868	20.950000																									
#	E6	04/06/2026	04/06/2026	7.150	51.027	0.827000	0.075000	470	-0.350000	0.874000	0.044000	0.000000	-0.000106	0.000000	0.000000	fixed f	985.250	22.732	100.000	22.868	20.950000																									
#--- Temperature Compensation Channel ----------------------------------------------------																																														
#Compensation Group [A Gr.1] - Optical Temperature Sensor - DF7-324-526 - Well numbers: A2																																														
#Settings:	Duration	Intensity	Amp	Frequency (Hz)	Crc Enable	Write Lock	Autom. Flash Duration	Autom. Amp Level	Broadcast Interval (ms)	Broadcast Enabled Sensors	Broadcast Options	Analyte	Fiber Type	Fiber Length (mm)	Radio Temp	Temperature (°C)	Opt. Temp. Chan.	Radio Pressure	Pressure (mbar)	Salinity (g/l)																										
#	128 ms	60% (F)	10M (400x)	970	FALSE	FALSE	FALSE	TRUE	0	45	0	temperature	1 mm	0	Internal Temperature Sensor	20.000000	1	Internal Pressure Sensor	1013.000000	0.000000																										
#Calibration:	WellNr	lastCal1	M	N	C	Tofs (K)	Background Amplitude (mV)	Background dphi (°)																																						
#	A2	04/06/2026	324.000000	526.000000	0.097000	-0.379000	0.044000	0.000000																																						
#--- Pressure Compensation Channel -------------------------------------------------------																																														
#Compensation Channel [A P1] - Internal Pressure Sensor																																														
#Settings: n/a																																														
#Calibration: n/a																																														
#--- Measurement Data --------------------------------------------------------------------																																														
Date [A Gr.1 Main]	Time [A Gr.1 Main]	 dt (s) [A Gr.1 Main]	Optical Temp. (°C) [A Gr.1.A2 Main]	dphi (°) [A Gr.1.A2 Main]	Signal Intensity (mV) [A Gr.1.A2 Main]	Ambient Light (mV) [A Gr.1.A2 Main]	Status [A Gr.1.A2 Main]	Date [A Gr.2 Main]	Time [A Gr.2 Main]	 dt (s) [A Gr.2 Main]	Oxygen (µmol/L) [A Gr.2.C4 Main]	dphi (°) [A Gr.2.C4 Main]	Signal Intensity (mV) [A Gr.2.C4 Main]	Ambient Light (mV) [A Gr.2.C4 Main]	Status [A Gr.2.C4 Main]	Oxygen (µmol/L) [A Gr.2.C6 Main]	dphi (°) [A Gr.2.C6 Main]	Signal Intensity (mV) [A Gr.2.C6 Main]	Ambient Light (mV) [A Gr.2.C6 Main]	Status [A Gr.2.C6 Main]	Oxygen (µmol/L) [A Gr.2.E4 Main]	dphi (°) [A Gr.2.E4 Main]	Signal Intensity (mV) [A Gr.2.E4 Main]	Ambient Light (mV) [A Gr.2.E4 Main]	Status [A Gr.2.E4 Main]	Oxygen (µmol/L) [A Gr.2.E6 Main]	dphi (°) [A Gr.2.E6 Main]	Signal Intensity (mV) [A Gr.2.E6 Main]	Ambient Light (mV) [A Gr.2.E6 Main]	Status [A Gr.2.E6 Main]	Date [A Gr.2 CompT]	Time [A Gr.2 CompT]	 dt (s) [A Gr.2 CompT]	Optical Temp. (°C) [A Gr.2.A2 CompT]	dphi (°) [A Gr.2.A2 CompT]	Signal Intensity (mV) [A Gr.2.A2 CompT]	Ambient Light (mV) [A Gr.2.A2 CompT]	Status [A Gr.2.A2 CompT]	Date [A Gr.2.%s CompP]	Time [A Gr.2.%s CompP]	 dt (s) [A Gr.2.%s CompP]	Pressure (mbar) [A Gr.2.%s CompP]	Status [A Gr.2.%s CompP]	Date [Comment]	Time [Comment]	Comment
05-06-2026	11:42:28,980	0.064	23.640	41.643	870	16	OK	05-06-2026	11:42:29,157	0.241	5.215822	48.500999	805	16	OK	3.357960	50.187000	1222	16	OK	3.522189	50.048000	1095	16	OK	2.811429	50.664001	1001	16	OK	05-06-2026	11:42:28,801	-0.115	23.645	41.642	871	16	OK	05-06-2026	11:42:29,157	0.241	991	OK			
05-06-2026	11:42:32,425	3.509	23.630	41.645	871	17	OK	05-06-2026	11:42:31,996	3.080	5.223601	48.494999	805	16	OK	3.364016	50.181999	1222	16	OK	3.522189	50.048000	1095	16	OK	2.810261	50.665001	1001	16	OK	05-06-2026	11:42:31,818	2.902	23.620	41.647	871	17	OK	05-06-2026	11:42:31,996	3.080	991	OK			
05-06-2026	11:42:37,893	8.977	23.586	41.654	871	17	OK	05-06-2026	11:42:35,009	6.093	5.217120	48.500000	805	16	OK	3.357960	50.187000	1221	16	OK	3.525822	50.044998	1094	16	OK	2.803219	50.671001	1001	16	OK	05-06-2026	11:42:34,830	5.914	23.615	41.648	871	17	OK	05-06-2026	11:42:35,009	6.093	991	OK			
05-06-2026	11:42:41,232	12.316	23.576	41.656	871	17	OK	05-06-2026	11:42:38,313	9.397	5.227486	48.492001	805	16	OK	3.362800	50.182999	1222	16	OK	3.528245	50.042999	1095	16	OK	2.793834	50.679001	1002	16	OK	05-06-2026	11:42:38,135	9.219	23.596	41.652	870	17	OK	05-06-2026	11:42:38,313	9.397	991	OK			
05-06-2026	11:42:44,455	15.539	23.581	41.655	871	17	OK	05-06-2026	11:42:41,617	12.701	5.240454	48.481998	805	16	OK	3.362800	50.182999	1222	16	OK	3.518565	50.050999	1095	16	OK	2.795007	50.678001	1001	16	OK	05-06-2026	11:42:41,439	12.523	23.601	41.651	870	17	OK	05-06-2026	11:42:41,617	12.701	991	OK			
05-06-2026	11:42:47,680	18.764	23.571	41.657	871	17	OK	05-06-2026	11:42:44,839	15.923	5.248236	48.476002	804	16	OK	3.360370	50.185001	1222	16	OK	3.510105	50.057999	1095	16	OK	2.791497	50.681000	1002	16	OK	05-06-2026	11:42:44,661	15.745	23.596	41.652	870	17	OK	05-06-2026	11:42:44,839	15.923	991	OK			
05-06-2026	11:42:50,903	21.987	23.561	41.659	871	16	OK	05-06-2026	11:42:48,054	19.138	5.258620	48.467999	804	16	OK	3.364016	50.181999	1221	16	OK	3.513725	50.055000	1095	16	OK	2.804394	50.669998	1001	16	OK	05-06-2026	11:42:47,876	18.960	23.586	41.654	869	17	OK	05-06-2026	11:42:48,054	19.138	991	OK			
05-06-2026	11:42:54,128	25.212	23.532	41.665	871	16	OK	05-06-2026	11:42:51,265	22.349	5.261212	48.466000	804	16	OK	3.368854	50.178001	1222	16	OK	3.528245	50.042999	1095	16	OK	2.805562	50.668999	1002	16	OK	05-06-2026	11:42:51,086	22.170	23.541	41.663	869	16	OK	05-06-2026	11:42:51,265	22.349	991	OK			
05-06-2026	11:42:57,467	28.551	23.517	41.668	870	16	OK	05-06-2026	11:42:54,572	25.656	5.269006	48.459999	804	16	OK	3.370067	50.176998	1221	16	OK	3.529459	50.042000	1095	16	OK	2.809084	50.666000	1002	16	OK	05-06-2026	11:42:54,394	25.478	23.541	41.663	870	16	OK	05-06-2026	11:42:54,572	25.656	991	OK			
05-06-2026	11:43:00,702	31.786	23.492	41.673	870	16	OK	05-06-2026	11:42:57,877	28.961	5.285884	48.446999	803	16	OK	3.377335	50.171001	1221	16	OK	3.530658	50.041000	1095	16	OK	2.806741	50.667999	1001	16	OK	05-06-2026	11:42:57,699	28.783	23.507	41.670	869	16	OK	05-06-2026	11:42:57,877	28.961	991	OK			
05-06-2026	11:43:03,926	35.010	23.477	41.676	870	16	OK	05-06-2026	11:43:01,084	32.168	5.292379	48.442001	804	16	OK	3.378546	50.169998	1222	16	OK	3.531872	50.040001	1095	16	OK	2.809084	50.666000	1002	16	OK	05-06-2026	11:43:00,906	31.990	23.517	41.668	869	16	OK	05-06-2026	11:43:01,084	32.168	991	OK			
05-06-2026	11:43:07,150	38.234	23.477	41.676	870	16	OK	05-06-2026	11:43:04,291	35.375	5.302781	48.433998	804	16	OK	3.378546	50.169998	1222	16	OK	3.542771	50.030998	1095	16	OK	2.809084	50.666000	1002	16	OK	05-06-2026	11:43:04,113	35.197	23.497	41.672	869	16	OK	05-06-2026	11:43:04,291	35.375	991	OK			
05-06-2026	11:43:10,483	41.567	23.438	41.684	870	16	OK	05-06-2026	11:43:07,594	38.678	5.309273	48.429001	803	16	OK	3.389452	50.160999	1222	16	OK	3.545187	50.028999	1095	16	OK	2.805562	50.668999	1002	16	OK	05-06-2026	11:43:07,417	38.501	23.477	41.676	869	16	OK	05-06-2026	11:43:07,594	38.678	991	OK			
05-06-2026	11:43:13,817	44.901	23.428	41.686	870	16	OK	05-06-2026	11:43:10,900	41.984	5.314478	48.424999	803	16	OK	3.387031	50.162998	1221	16	OK	3.540339	50.033001	1095	16	OK	2.806740	50.667999	1002	16	OK	05-06-2026	11:43:10,723	41.807	23.448	41.682	869	16	OK	05-06-2026	11:43:10,900	41.984	991	OK			
05-06-2026	11:43:17,044	48.128	23.403	41.691	870	16	OK	05-06-2026	11:43:14,208	45.292	5.314478	48.424999	803	16	OK	3.383389	50.166000	1222	16	OK	3.542770	50.030998	1095	16	OK	2.804394	50.669998	1002	16	OK	05-06-2026	11:43:14,031	45.115	23.428	41.686	869	16	OK	05-06-2026	11:43:14,208	45.292	991	OK			
05-06-2026	11:43:20,271	51.355	23.398	41.692	870	16	OK	05-06-2026	11:43:17,423	48.507	5.319676	48.421001	803	16	OK	3.390666	50.160000	1222	16	OK	3.541553	50.032001	1095	16	OK	2.806741	50.667999	1002	16	OK	05-06-2026	11:43:17,246	48.330	23.423	41.687	869	16	OK	05-06-2026	11:43:17,423	48.507	991	OK			
05-06-2026	11:43:23,496	54.580	23.403	41.691	870	16	OK	05-06-2026	11:43:20,631	51.715	5.332688	48.410999	803	16	OK	3.397931	50.153999	1221	16	OK	3.535502	50.036999	1095	16	OK	2.817303	50.659000	1002	16	OK	05-06-2026	11:43:20,452	51.536	23.413	41.689	869	16	OK	05-06-2026	11:43:20,631	51.715	991	OK			
